TaskID,PrecedingTasks
TSK-5C2187CF,TSK-98C9448B
TSK-5C2187CF,TSK-A8A24727
TSK-5C2187CF,TSK-CB0C0404
TSK-5C2187CF,TSK-85D5D00C
TSK-983C30DC,TSK-5C2187CF
TSK-983C30DC,TSK-C891B895
TSK-983C30DC,TSK-E6CFDD02
TSK-763CE1C3,TSK-98C9448B
TSK-763CE1C3,TSK-A8A24727
TSK-763CE1C3,TSK-983C30DC
TSK-59CE546C,TSK-763CE1C3
TSK-59CE546C,TSK-98C9448B
TSK-59CE546C,TSK-A8A24727
TSK-59CE546C,TSK-85D5D00C
TSK-01D25D85,TSK-E6CFDD02
TSK-01D25D85,TSK-98C9448B
TSK-01D25D85,TSK-CB0C0404
TSK-01D25D85,TSK-59CE546C
TSK-255E6310,TSK-E6CFDD02
TSK-255E6310,TSK-C891B895
TSK-2B1FAB57,TSK-59CE546C
TSK-2B1FAB57,TSK-98C9448B
TSK-2B1FAB57,TSK-5C2187CF
TSK-427652F3,TSK-E6CFDD02
TSK-427652F3,TSK-CB0C0404
TSK-427652F3,TSK-A8A24727
TSK-CAFF3B09,TSK-98C9448B
TSK-3BA37747,TSK-98C9448B
TSK-3BA37747,TSK-427652F3
TSK-3BA37747,TSK-CB0C0404
TSK-54F9521F,TSK-763CE1C3
TSK-54F9521F,TSK-A6994DD6
TSK-AAF06E6A,TSK-C891B895
TSK-AAF06E6A,TSK-2B1FAB57
TSK-AAF06E6A,TSK-A6994DD6
TSK-AAF06E6A,TSK-763CE1C3
TSK-FAC99DF1,TSK-3BA37747
TSK-E73A7D25,TSK-54F9521F
TSK-E73A7D25,TSK-85D5D00C
TSK-E73A7D25,TSK-98C9448B
TSK-E73A7D25,TSK-A6994DD6
TSK-4D677758,TSK-FAC99DF1
TSK-84305F2F,TSK-E73A7D25
TSK-84305F2F,TSK-A6994DD6
TSK-84305F2F,TSK-983C30DC
TSK-30DBEA24,TSK-CAFF3B09
TSK-30DBEA24,TSK-255E6310
