TaskID,Description,AssignedEmployees,Advisors,PrecedingTasks,StoryPoints,StartTime,EstimatedFinishTime,Status,ActualFinishTime
TSK-B0CB2041,Create a project plan and roadmap,"2,25,29","4,33",,8,2025-03-07,2025-03-12,Planned,
TSK-79F400AD,Identify key stakeholders and their responsibilities,"3,11","17,12",,3,2025-03-08,2025-03-10,Planned,
TSK-2D2A3DFB,Define project scope and objectives,"6,28",10,,7,2025-03-12,2025-03-15,Planned,
TSK-4CEBF5BD,Establish project timeline and milestones,6,"10,22",,5,2025-03-11,2025-03-14,Planned,
TSK-89574365,Draft initial project budget,"11,26","35,20",,6,2025-03-14,2025-03-16,Planned,
TSK-037F56AF,Develop system architecture,5,1,"TSK-4CEBF5BD,TSK-79F400AD",9,2025-03-14,2025-03-19,Planned,
TSK-170A653F,Design user interface,"11,27","35,1","TSK-79F400AD,TSK-2D2A3DFB,TSK-4CEBF5BD,TSK-B0CB2041",10,2025-03-11,2025-03-16,Planned,
TSK-F8463718,Design database schema,"14,4",23,"TSK-79F400AD,TSK-89574365,TSK-4CEBF5BD,TSK-170A653F",7,2025-03-15,2025-03-19,Planned,
TSK-AFD11CD5,Design software modules,"10,26,5",35,"TSK-79F400AD,TSK-F8463718",8,2025-03-15,2025-03-20,Planned,
TSK-DCAEE785,Create technical specification documents,"24,33",28,,4,2025-03-16,2025-03-18,Planned,
TSK-E9AD83AC,Set up development environment,6,"22,9","TSK-2D2A3DFB,TSK-DCAEE785,TSK-79F400AD",2,2025-03-17,2025-03-18,Planned,
TSK-E0B2CA1A,Implement user interface,6,34,TSK-037F56AF,10,2025-03-18,2025-03-24,Planned,
TSK-65DE8E2B,Implement database schema,30,"23,18",,7,2025-03-15,2025-03-20,Planned,
TSK-DB65408A,Develop software modules,"29,23,24",35,"TSK-65DE8E2B,TSK-2D2A3DFB",12,2025-03-15,2025-03-22,Planned,
TSK-6B10CD13,Code review and optimization,15,"31,13","TSK-4CEBF5BD,TSK-AFD11CD5,TSK-170A653F,TSK-E0B2CA1A",6,2025-03-17,2025-03-20,Planned,
TSK-FA36435A,Create unit tests,32,"2,26","TSK-E0B2CA1A,TSK-4CEBF5BD,TSK-DB65408A,TSK-DCAEE785",8,2025-03-17,2025-03-21,Planned,
TSK-09A2DD17,Run unit tests and fix any bugs,"34,22",10,,7,2025-03-18,2025-03-21,Planned,
TSK-766FCA90,Perform integration testing,22,13,"TSK-FA36435A,TSK-2D2A3DFB",9,2025-03-17,2025-03-22,Planned,
TSK-8F80BB99,Run functional tests and fix any bugs,"23,9","3,35","TSK-766FCA90,TSK-170A653F,TSK-E0B2CA1A,TSK-6B10CD13",8,2025-03-17,2025-03-21,Planned,
TSK-001CD7B9,Execute performance testing,30,14,"TSK-AFD11CD5,TSK-766FCA90,TSK-170A653F",7,2025-03-18,2025-03-21,Planned,
TSK-BD426780,Perform user acceptance testing,26,8,TSK-09A2DD17,5,2025-03-20,2025-03-23,Planned,
TSK-219116B7,Fix bugs from user acceptance testing,17,6,"TSK-170A653F,TSK-2D2A3DFB",6,2025-03-20,2025-03-23,Planned,
TSK-FBC65F65,Prepare user manuals and documentation,"27,33,2","30,34",,5,2025-03-18,2025-03-20,Planned,
TSK-E4184D9F,Develop training materials for end-users,7,"22,13","TSK-BD426780,TSK-6B10CD13,TSK-FBC65F65",4,2025-03-22,2025-03-24,Planned,
TSK-089DFDB5,Set up production environment,"24,23,6","11,31",,3,2025-03-20,2025-03-21,Planned,
TSK-A04893FE,Deploy software to production environment,"12,3,27",29,"TSK-037F56AF,TSK-BD426780",8,2025-03-21,2025-03-24,Planned,
